Symbol,Live,Trend,Momentum,Volatility,Flow,RelStrength,Quality,Macro,STS,LTS,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore,Issues,98
GLD,367.36,9.15,25.08,-548.53,80.17,4.57,21.23,98.00,12.93,-65.08,2025-10-17,397.14,397.28,385.22,388.99,61959600,363.60,338.16,300.58,1.69,0.58,0.36,TRUE,TRUE,37.58,1.40,53.98,42.96,75.32,-5.36,14.49,2.22,24.23,27.07,58.18,82.14,14.69,1.71,1616.00,1.00,-0.01,0.04,7.23,5.80,-7.11,2.98,820422600.00,313.54,673884854.94,0.20,66.07,14.56,3.38,0.00,0.34,5.47,-0.21,-0.01,1.57,,
HXQ,103.29,4.88,14.08,55.48,10.59,31.19,64.60,98.00,16.72,44.70,2025-10-17,99.09,100.06,98.90,99.87,23500,98.93,95.91,87.46,0.25,0.15,0.05,TRUE,TRUE,8.44,0.16,16.33,23.94,59.57,2.34,1.14,-0.16,9.75,37.71,25.81,68.09,3.09,1.36,109.07,0.85,0.69,0.26,1.78,2.99,-4.21,1.02,38100.00,2.62,807859.64,-0.08,39.13,0.58,13.48,110.65,0.07,1.54,0.51,0.69,0.86,,
HXT,79.32,9.34,12.63,71.22,35.81,25.01,59.99,98.00,15.66,46.03,2025-10-17,78.96,79.20,78.55,78.71,442400,78.87,76.51,69.64,0.15,0.12,0.05,TRUE,TRUE,6.87,0.15,10.99,46.27,54.26,-8.05,0.78,-0.17,9.14,24.09,23.64,27.97,1.72,1.07,70.27,0.63,1.00,1.00,1.21,3.43,-2.34,1.58,-24521500.00,114.24,11086313.74,-0.10,50.07,-0.03,-0.15,100.23,0.00,-0.49,1.00,1.00,-0.23,,
HYG,81.19,4.63,10.94,90.14,32.97,-6.14,20.23,98.00,3.14,36.30,2025-10-17,80.44,80.73,80.43,80.72,69952900,80.69,80.37,77.91,0.01,0.03,0.02,TRUE,TRUE,2.46,0.03,-4.61,23.05,53.41,3.28,0.04,-0.04,1.91,6.85,7.45,61.11,-0.20,0.36,24.04,0.22,0.00,0.13,0.49,1.01,-1.25,1.54,40586800.00,118.31,-1518522081449.43,-1.53,36.90,-7.75,-16.84,0.00,0.02,1.14,-0.36,0.00,0.11,,
IAU,75.24,9.97,21.77,-34.62,136.29,4.59,21.23,98.00,12.11,20.16,2025-10-17,81.30,81.34,78.87,79.63,40382600,74.45,69.23,61.51,0.35,0.12,0.07,TRUE,TRUE,7.72,0.29,54.33,49.26,75.39,-5.56,2.97,0.45,24.25,27.14,58.37,82.00,14.67,1.70,331.25,1.00,-0.01,0.04,7.20,5.83,-7.15,3.31,432629500.00,600.36,344755066.38,0.17,60.73,14.58,3.45,0.00,0.34,5.48,-0.21,-0.01,1.56,,
IEF,97.28,3.74,13.90,80.54,45.84,-6.16,20.70,98.00,3.83,35.12,2025-10-17,97.46,97.48,97.27,97.39,12490500,96.54,96.02,93.35,0.01,0.05,0.01,TRUE,TRUE,2.67,0.05,41.06,18.57,65.28,-0.90,0.35,0.08,3.80,4.87,5.18,86.49,1.09,0.36,47.80,0.30,0.00,0.00,0.98,2.67,-2.72,1.67,-98377900.00,125.92,-213413625632.74,-0.66,81.28,-5.87,-18.83,0.00,0.06,3.37,-0.02,0.00,1.77,,
IEFA,89.24,3.45,12.54,64.62,20.45,-2.05,20.12,98.00,4.64,32.78,2025-10-17,87.75,88.21,87.61,88.11,11622200,87.47,86.64,79.52,0.07,0.08,0.04,TRUE,TRUE,7.12,0.08,15.98,16.98,56.67,5.61,0.35,-0.06,6.11,19.02,20.30,66.04,1.43,0.93,86.75,0.71,-0.01,0.07,1.57,1.10,-4.46,1.10,-227400800.00,13.68,-123428410097.30,0.14,69.41,-3.56,-4.67,0.00,0.02,0.57,-0.26,-0.01,0.73,,
IEMG,68.64,5.41,13.42,67.94,28.02,1.51,20.39,98.00,6.78,34.44,2025-10-17,66.50,67.03,66.46,66.92,15756600,66.20,64.33,57.62,0.14,0.09,0.02,TRUE,TRUE,6.71,0.12,12.79,26.74,58.33,7.63,0.61,-0.09,8.95,30.34,22.58,84.07,1.89,1.37,77.96,0.90,-0.02,0.14,1.65,2.17,-4.48,1.36,-87093800.00,64.19,-141178080628.06,0.04,59.06,-0.71,6.65,0.00,0.09,1.75,-0.37,-0.02,0.93,,
IJH,66.40,3.58,9.31,74.07,23.78,-3.13,19.85,98.00,3.25,33.61,2025-10-17,64.24,64.62,64.02,64.47,15627800,65.11,64.84,61.61,-0.01,0.06,0.01,FALSE,TRUE,3.23,0.04,-9.65,17.75,46.22,-4.00,-0.11,-0.13,2.60,18.29,3.30,42.47,-1.74,1.58,62.42,0.97,-0.02,0.09,1.63,0.19,-4.59,1.52,-58541900.00,57.38,-25390224749.48,-0.05,47.42,-7.07,-5.40,0.00,-0.04,-0.67,-0.30,-0.02,-1.02,,
IJR,121.56,4.20,10.39,45.72,12.91,-1.15,20.00,98.00,4.48,29.53,2025-10-17,117.14,118.17,116.93,117.59,5326300,118.42,117.31,110.29,0.02,0.16,-0.01,TRUE,TRUE,7.02,0.15,-6.07,20.64,48.84,-2.77,0.08,-0.22,5.75,23.02,2.38,47.66,-1.40,1.73,133.03,1.19,-0.02,0.07,1.89,0.98,-5.27,1.21,-200967800.00,0.83,-16079782038.87,-0.04,49.55,-3.91,-0.68,0.00,0.00,0.00,-0.27,-0.02,-0.63,,
