Sheet,Type,Symbol,GID,Edit_URL,CSV_URL,Yahoo_URL
H_VCE,History,VCE,2108601594,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=2108601594,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=2108601594,https://ca.finance.yahoo.com/quote/VCE.TO/
H_VCN,History,VCN,490192458,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=490192458,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=490192458,https://ca.finance.yahoo.com/quote/VCN.TO/
H_VDY,History,VDY,490310428,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=490310428,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=490310428,https://ca.finance.yahoo.com/quote/VDY.TO/
H_VEA,History,VEA,1931524832,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1931524832,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1931524832,https://ca.finance.yahoo.com/quote/VEA/
H_VEE,History,VEE,169072189,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=169072189,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=169072189,https://ca.finance.yahoo.com/quote/VEE.TO/
H_VEQT,History,VEQT,1751171801,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1751171801,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1751171801,https://ca.finance.yahoo.com/quote/VEQT.TO/
H_VFV,History,VFV,18930442,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=18930442,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=18930442,https://ca.finance.yahoo.com/quote/VFV.TO/
H_VGRO,History,VGRO,819713780,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=819713780,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=819713780,https://ca.finance.yahoo.com/quote/VGRO.TO/
H_VIU,History,VIU,1386351503,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1386351503,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1386351503,https://ca.finance.yahoo.com/quote/VIU.TO/
H_VLUE,History,VLUE,280662845,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=280662845,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=280662845,https://ca.finance.yahoo.com/quote/VLUE/
H_VNQ,History,VNQ,326566136,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=326566136,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=326566136,https://ca.finance.yahoo.com/quote/VNQ/
H_VOO,History,VOO,1615064695,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1615064695,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1615064695,https://ca.finance.yahoo.com/quote/VOO/
H_VTI,History,VTI,2053737170,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=2053737170,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=2053737170,https://ca.finance.yahoo.com/quote/VTI/
H_VTV,History,VTV,1128753302,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1128753302,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1128753302,https://ca.finance.yahoo.com/quote/VTV/
H_VUG,History,VUG,1622125637,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1622125637,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1622125637,https://ca.finance.yahoo.com/quote/VUG/
H_VUN,History,VUN,1644657595,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1644657595,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1644657595,https://ca.finance.yahoo.com/quote/VUN.TO/
H_VWO,History,VWO,958738390,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=958738390,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=958738390,https://ca.finance.yahoo.com/quote/VWO/
H_VXC,History,VXC,642659507,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=642659507,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=642659507,https://ca.finance.yahoo.com/quote/VXC.TO/
H_XAW,History,XAW,739571541,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=739571541,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=739571541,https://ca.finance.yahoo.com/quote/XAW.TO/
H_XBAL,History,XBAL,938694138,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=938694138,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=938694138,https://ca.finance.yahoo.com/quote/XBAL.TO/
H_XBB,History,XBB,1106849293,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1106849293,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1106849293,https://ca.finance.yahoo.com/quote/XBB.TO/
H_XBI,History,XBI,1880871022,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1880871022,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1880871022,https://ca.finance.yahoo.com/quote/XBI/
