Sheet,Type,Symbol,GID,Edit_URL,CSV_URL,Yahoo_URL
H_IEF,History,IEF,1519944340,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1519944340,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1519944340,https://ca.finance.yahoo.com/quote/IEF/
H_IEFA,History,IEFA,639572203,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=639572203,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=639572203,https://ca.finance.yahoo.com/quote/IEFA/
H_IEMG,History,IEMG,1837343938,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1837343938,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1837343938,https://ca.finance.yahoo.com/quote/IEMG/
H_IJH,History,IJH,1824368383,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1824368383,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1824368383,https://ca.finance.yahoo.com/quote/IJH/
H_IJR,History,IJR,760550159,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=760550159,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=760550159,https://ca.finance.yahoo.com/quote/IJR/
H_ITOT,History,ITOT,327853837,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=327853837,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=327853837,https://ca.finance.yahoo.com/quote/ITOT/
H_IVV,History,IVV,543077039,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=543077039,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=543077039,https://ca.finance.yahoo.com/quote/IVV/
H_IWB,History,IWB,1073606595,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1073606595,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1073606595,https://ca.finance.yahoo.com/quote/IWB/
H_IWD,History,IWD,240972557,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=240972557,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=240972557,https://ca.finance.yahoo.com/quote/IWD/
H_IWF,History,IWF,1140933779,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1140933779,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1140933779,https://ca.finance.yahoo.com/quote/IWF/
H_IWM,History,IWM,1892642416,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1892642416,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1892642416,https://ca.finance.yahoo.com/quote/IWM/
H_IWO,History,IWO,406347902,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=406347902,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=406347902,https://ca.finance.yahoo.com/quote/IWO/
H_IWP,History,IWP,1142942073,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1142942073,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1142942073,https://ca.finance.yahoo.com/quote/IWP/
H_IWS,History,IWS,1797541314,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=1797541314,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=1797541314,https://ca.finance.yahoo.com/quote/IWS/
H_IYR,History,IYR,409903059,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/edit#gid=409903059,https://docs.google.com/spreadsheets/d/1iClfgrC4QaJ7Wb00dPoeg6DANCc1VisSqds-yhXtL2M/export?format=csv&gid=409903059,https://ca.finance.yahoo.com/quote/IYR/
