Date,Open,High,Low,Close,Volume
2022-01-04,37.93000031,37.93000031,37.56999969,36.16053772,174600
2022-01-05,37.70000076,37.73500061,37.15499878,35.61889267,201000
2022-01-06,37.125,37.20500183,36.97000122,35.48468399,196200
2022-01-07,36.95500183,36.97999954,36.59000015,35.10122299,132600
2022-01-10,36.41999817,36.66500092,36,35.14915466,332000
2022-01-11,36.54499817,36.70999908,36.29499817,35.19229507,216800
2022-01-12,36.68999863,36.78499985,36.47000122,35.10122299,225000
2022-01-13,36.55500031,36.57500076,36.04999924,34.58834457,128400
2022-01-14,35.89500046,36.25500107,35.86999893,34.74651718,141000
2022-01-17,36.24499893,36.40000153,36.21500015,34.75131607,21600
2022-01-18,35.77999878,35.77999878,35.43500137,34.037117,151200
2022-01-19,35.56499863,35.66999817,35.08499908,33.66323853,154600
2022-01-20,35.20999908,35.48500061,34.70999908,33.33249283,182800
2022-01-21,34.65000153,34.86500168,34.25,32.8531723,321600
2022-01-24,33.91999817,34.54999924,33.24499893,33.12159348,567200
2022-01-25,34.07500076,34.41999817,33.65000153,32.64706421,442000
2022-01-26,34.45500183,34.74499893,33.81999969,32.71416473,351800
2022-01-27,34.52000046,34.74000168,34.02000046,32.75251389,380400
2022-01-28,34.32500076,35.08000183,33.95500183,33.62968445,155600
2022-01-31,34.95500183,35.54999924,34.875,34.06108093,203800
2022-02-01,35.58499908,35.74499893,35.34500122,34.22405243,380400
2022-02-02,35.86500168,36.03250122,35.75999832,34.54280472,90800
2022-02-03,35.52500153,35.66500092,35.15999985,33.74951935,143800
2022-02-04,35.40499878,35.85499954,35.27500153,34.10422134,74600
2022-02-07,35.54999924,35.54999924,35.17499924,33.72075653,64600
2022-02-08,35.27000046,35.63000107,35.24499893,34.15694427,61800
2022-02-09,35.90999985,36.04000092,35.88000107,34.53081894,64000
2022-02-10,35.66999817,35.96500015,35.38499832,34.06108093,59600
2022-02-11,35.50500107,35.58000183,34.77999878,33.44274521,119200
2022-02-14,34.875,34.93999863,34.5,33.27019119,108400
2022-02-15,35.08000183,35.34500122,35.08000183,33.82141113,146400
2022-02-16,35,35.29000092,34.88499832,33.74951935,51200
2022-02-17,34.97499847,35.00500107,34.47499847,33.07366943,58800
2022-02-18,34.52000046,34.55500031,34.22999954,32.99217987,87400
2022-02-22,34.14500046,34.41500092,33.86000061,32.68540955,93000
2022-02-23,34.125,34.15499878,33.375,32.05269623,208000
2022-02-24,32.75500107,34.07500076,32.75500107,32.66624069,234200
2022-02-25,34.11999893,34.625,34.07500076,33.12159348,195400
2022-02-28,34.17499924,34.41999817,34,32.96821213,208600
2022-03-01,34.24000168,34.36500168,33.84999847,32.62789154,134200
2022-03-02,34.09500122,34.50999832,34.09500122,32.97780228,109800
2022-03-03,34.59999847,34.61000061,34.21500015,32.92986298,136800
2022-03-04,34.29999924,34.31999969,33.98500061,32.76689148,103200
2022-03-07,34.16500092,34.20000076,33.38999939,32.01914215,222200
2022-03-08,33.43000031,34.11000061,33.21500015,32.10062408,160400
2022-03-09,33.84500122,34.18000031,33.77000046,32.59433746,132400
2022-03-10,33.58499908,33.81000137,33.45000076,32.4121933,46800
2022-03-11,33.83000183,33.83000183,33.27000046,31.92807198,97800
2022-03-14,33.35499954,33.59999847,33.11500168,31.81781769,113200
2022-03-15,33.41999817,33.83000183,33.34500122,32.38821793,215800
2022-03-16,33.94499969,34.29000092,33.75500107,32.85796738,126200
2022-03-17,34.15499878,34.54999924,34.15499878,33.09762955,88400
2022-03-18,34.47000122,34.90000153,34.47000122,33.45712662,101000
2022-03-21,34.90499878,35,34.65499878,33.42357254,66800
2022-03-22,34.97499847,35.31499863,34.97499847,33.74472046,67200
2022-03-23,35.07500076,35.10499954,34.82500076,33.45233154,34400
2022-03-24,34.90000153,35.11999893,34.81499863,33.66802216,55000
2022-03-25,35.18999863,35.29999924,34.97499847,33.69678879,52600
2022-03-28,35.27500153,35.54999924,35.27000046,34.0802536,60400
2022-03-29,35.86000061,35.93500137,35.68999863,34.42057419,66800
2022-03-30,35.68999863,35.75,35.53499985,34.11859894,43800
2022-03-31,35.72000122,35.73500061,35.27000046,33.81182861,32400
2022-04-01,35.32500076,35.32500076,35.06000137,33.75910187,64400
2022-04-04,35.24499893,35.53499985,35.20000076,34.06587219,50600
2022-04-05,35.22000122,35.375,35.04999924,33.63927078,90600
2022-04-06,34.75500107,35,34.64500046,33.41878128,71800
2022-04-07,34.91500092,35.29000092,34.88000107,33.77348709,43200
2022-04-08,35.20500183,35.27999878,35,33.55299377,21200
2022-04-11,34.92499924,34.92499924,34.59999847,33.16952515,64800
2022-04-12,34.78499985,35,34.40000153,33.08804321,64000
2022-04-13,34.59500122,34.77500153,34.57500076,33.25580597,76800
2022-04-14,34.79499817,34.79499817,34.45000076,33.02572632,46200
2022-04-18,34.36000061,34.52999878,34.27999878,33.00175858,35400
2022-04-19,34.47000122,35.02999878,34.45000076,33.48588943,54800
2022-04-20,34.83000183,34.83000183,34.65000153,33.26060104,38000
2022-04-21,34.88499832,34.94499969,34.29499817,32.92986298,57400
2022-04-22,34.5,34.5,33.75,32.35467148,82200
2022-04-25,33.70999908,33.95500183,33.34999847,32.55119324,121800
2022-04-26,33.93999863,33.95500183,33.25,31.87534332,269000
2022-04-27,33.41999817,33.68500137,33.23500061,31.93765259,80000
2022-04-28,33.81999969,34.22499847,33.48500061,32.65185547,77200
2022-04-29,33.61500168,33.77500153,32.92499924,31.56377602,102800
2022-05-02,33.08000183,33.25,32.65000153,31.85616302,71400
2022-05-03,33.22499847,33.47000122,33.13999939,31.90410042,147200
2022-05-04,33.33000183,34.04999924,33.09500122,32.62310028,107600
2022-05-05,33.75500107,33.75500107,32.81999969,31.73633957,97600
2022-05-06,32.92499924,33.20500183,32.625,31.6596489,86600
2022-05-09,32.61000061,32.63499832,32.15499878,30.94065094,130600
2022-05-10,32.67499924,32.72000122,32.10499954,31.06527519,134800
2022-05-11,32.16999817,32.52000046,31.75499916,30.45653343,92800
2022-05-12,31.57999992,32,31.38500023,30.55239677,115800
2022-05-13,32.18500137,32.43999863,32.08499908,30.94065094,65800
2022-05-16,32.18500137,32.32500076,31.98500061,30.6961956,44200
2022-05-17,32.59999847,32.625,32.24499893,31.20907402,142400
2022-05-18,32.25999832,32.25999832,31.36499977,30.15455437,73200
2022-05-19,31.03000069,31.34499931,30.93499947,29.7950592,66800
2022-05-20,31.34000015,31.36000061,30.5,29.85737038,74200
2022-05-24,31.29500008,31.5,31.03000069,30.10182571,39000
2022-05-25,31.40999985,31.84499931,31.39999962,30.41339111,74000
2022-05-26,31.88500023,32.39500046,31.87000084,30.97899437,44400
2022-05-27,32.36999893,32.90000153,32.36999893,31.53981209,51600
2022-05-30,33.09999847,33.09999847,32.89500046,31.71716118,135400
2022-05-31,32.61000061,32.77000046,32.32500076,31.22824478,56200
2022-06-01,32.64500046,32.68999863,32.09999847,30.98858833,26800
2022-06-02,32.24499893,32.70000076,32.04499817,31.34328842,44600
2022-06-03,32.27500153,32.31000137,32.13499832,30.83040428,28000
2022-06-06,32.39500046,32.53499985,32.18999863,30.94065094,36800
2022-06-07,32.02500153,32.45999908,32.02500153,31.10841942,44400
2022-06-08,32.27000046,32.38999939,32.15499878,30.82561302,13200
2022-06-09,32.06999969,32.375,31.75,30.43735886,45000
2022-06-10,31.43000031,31.43000031,31.02000046,29.73753738,43600
2022-06-13,30.36499977,30.50499916,29.97999954,28.83639908,153800
2022-06-14,30.34000015,30.35499954,29.95000076,28.88912582,82200
2022-06-15,30.44000053,30.75,30.20999908,29.18151855,91000
2022-06-16,29.81999969,29.81999969,29.31500053,28.46252251,97600
2022-06-17,29.78000069,30.03000069,29.64500046,28.59194565,140000
2022-06-20,30.09499931,30.10000038,29.98500061,28.85557365,49000
2022-06-21,30.10000038,30.40999985,30.09499931,29.08564949,49200
2022-06-22,30.02499962,30.56999969,30.00499916,29.14317131,40200
2022-06-23,30.51000023,30.73999977,30.34499931,29.44035339,46800
2022-06-24,30.73500061,31.23999977,30.73500061,30.11662865,52000
2022-06-27,31.37000084,31.37000084,31.04500008,29.98648262,61400
2022-06-28,31.19499969,31.375,30.48999977,29.417696,92800
2022-06-29,30.52000046,30.56500053,30.32999992,29.41287613,116800
2022-06-30,30.18499947,30.44499969,29.89500046,29.08510208,103800
2022-07-04,30.53000069,30.53499985,30.42000008,29.39841652,110800
2022-07-05,30.31500053,30.92000008,30.25,29.79367638,60600
2022-07-06,30.94499969,31.22999954,30.86499977,29.96238327,168800
2022-07-07,31.15999985,31.45000076,31.15999985,30.2756958,60800
2022-07-08,31.25499916,31.42499924,31.22999954,30.21784973,68000
2022-07-11,31.27000046,31.27000046,31.03000069,29.9238205,44000
2022-07-12,31.06999969,31.12999916,30.72500038,29.7213707,165200
2022-07-13,30.40500069,30.73500061,30.33499908,29.4707222,70200
2022-07-14,30.64500046,30.84499931,30.43499947,29.69727135,56600
2022-07-15,31.05500031,31.18499947,30.98999977,30.04914474,44200
2022-07-18,31.25,31.30500031,30.75,29.74065018,130600
2022-07-19,31.05999947,31.43000031,31.05999947,30.2756958,56800
2022-07-20,31.45000076,31.71500015,31.37000084,30.49260139,48800
2022-07-21,31.65999985,31.92499924,31.5,30.75771523,93400
2022-07-22,31.89999962,31.90999985,31.55500031,30.57454681,73400
