Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
2022-01-03,223.7100067,226.6900024,222.7299957,214.6143799,30618800,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,0,,0,,-156118798.6,,,,,,0,0,,,
2022-01-04,226,227.1300049,223.3800049,214.2905121,22013100,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-0.1509068488,,-22013100,,-284845452.6,,,,,0,0,0,,,
2022-01-05,224.8699951,225.9100037,217.3200073,207.0325775,40582100,,,,,,,TRUE,TRUE,0,,,0,,,0,0,,,,,,0,0,,,,,,-3.532755993,,-62595200,,-422630272.8,,,,,0,0,0,,,
2022-01-06,217.8200073,220.4199982,215.8200073,208.2136536,39105900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-3.532755993,,-23489300,,-591063956.1,,,,,0,0,0,,,
2022-01-07,218.6000061,220.3800049,215.9299927,205.8038788,31583900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.105270627,,-55073200,,-766387762.3,,,,,0,0,0,,,
2022-01-10,214.7700043,215.3899994,211.1100006,205.0894775,45778100,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.438147318,,-100851300,,-940954734.1,,,,,0,0,0,,,
2022-01-11,215.4799957,217.8300018,212.9600067,207.2706604,35209900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.438147318,,-65641400,,-1058432197,,,,,0,0,0,,,
2022-01-12,218.5200043,219.3800049,214.6399994,205.7276764,35284500,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-4.438147318,,-100925900,,-1226402982,,,,,0,0,0,,,
2022-01-13,216.8099976,218.1900024,213.3800049,203.8417511,34489600,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.019527951,,-135415500,,-1397678747,,,,,0,0,0,,,
2022-01-14,211.9900055,214.3999939,210.5800018,204.1274567,42020900,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-5.019527951,,-93394600,,-1581658976,,,,,0,0,0,,,
2022-01-18,212.1999969,212.4400024,207.5299988,197.9553833,49434400,,,,,,,TRUE,TRUE,0,,,0,,0,0,0,,,,,,0,0,,,,,,-7.762292811,,-142829000,,-1823889717,,,,,0,0,0,,,
2022-01-19,208.8099976,209.4600067,204.3800049,194.7359467,46209100,,,,,,,TRUE,TRUE,0,,,0,,0,205.7252795,164.5802236,,,,,,0,0,,,,,,-9.262395762,,-189038100,,-2045548853,,,,,0,0,0,,,
2022-01-20,205.3800049,208.9900055,200.3300018,191.211731,50466000,,,,,,,TRUE,TRUE,0,,,0,,0,203.4924259,129.877896,,,,,,0,0,,,,,,-10.90451112,,-239504100,,-2202287939,,,,,0,0,0,,,
2022-01-21,199.7599945,203.0200043,196.9900055,187.6304169,85821000,,,,,,,TRUE,TRUE,0,,,5.306355595,,0,201.0521168,101.9500695,,,,-31.05371205,,14.45527699,0,,,,6.318428833,,-12.57323159,,-325325100,,-2554526656,,,,,0,0,0,,,
