Symbol,Settings,Date,Open,High,Low,Close,Volume
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-22,19.420,19.420,18.880,18.970,77839
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-23,18.810,18.810,18.230,18.610,14526
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-26,18.620,19.570,18.620,19.460,21150
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-27,19.120,19.430,19.000,19.320,40529
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-28,19.270,19.640,19.120,19.640,20160
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-29,19.710,20.050,19.560,20.040,26023
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-30,20.250,20.530,20.000,20.420,82508
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-04,20.700,20.830,20.660,20.750,3551
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-05,20.860,20.860,20.490,20.490,44915
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-06,20.010,20.270,19.400,19.740,55360
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-07,19.500,20.920,19.500,20.780,50671
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-10,20.690,21.200,20.690,20.940,24887
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-11,21.260,21.600,21.140,21.470,43798
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-12,21.990,22.000,21.500,21.590,54028
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-13,21.280,21.850,21.240,21.820,23060
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-14,21.320,21.710,20.820,20.820,54808
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-17,20.500,20.780,20.410,20.430,21338
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-18,20.920,21.640,20.920,21.440,43062
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-19,21.720,21.920,21.330,21.520,63433
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-20,21.950,21.950,21.200,21.590,23872
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-21,21.950,22.100,21.640,22.040,34598
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-24,22.200,23.040,22.200,22.770,38016
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-25,22.720,23.250,22.670,23.010,37050
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-26,22.660,23.150,22.640,23.140,16829
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-27,23.500,23.550,22.710,22.780,29012
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-28,22.900,23.950,22.660,23.920,27932
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-31,24.020,24.600,24.020,24.090,28297
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-01,23.800,24.270,23.620,24.260,49328
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-02,24.010,24.010,23.150,23.480,34704
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-03,23.010,24.550,23.010,24.100,221003
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-04,24.380,25.000,24.170,24.570,49344
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-08,24.160,25.050,23.870,25.020,17894
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-09,25.380,25.950,25.360,25.560,37480
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-10,25.760,25.880,25.300,25.470,32712
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-11,25.470,26.140,25.470,25.960,39726
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-14,26.090,26.090,25.250,25.790,39120
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-15,25.120,25.570,24.610,24.730,122827
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-16,24.730,25.490,24.730,24.990,60325
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-17,25.690,26.000,25.550,25.740,45377
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-18,25.460,26.260,25.250,26.260,40205
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-21,26.500,26.630,25.770,25.990,50469
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-22,26.100,26.170,25.650,25.720,53600
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-23,25.210,25.660,24.860,25.330,164778
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-24,25.170,25.250,24.670,24.690,86756
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-25,24.870,25.500,24.740,25.390,34507
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-28,25.870,26.290,25.780,26.060,81641
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-29,26.310,27.010,25.920,26.980,33879
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-30,27.080,27.680,27.080,27.300,14021
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-31,27.400,27.700,27.350,27.480,30824
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-01,27.920,28.620,27.900,28.550,33236
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-05,28.900,29.310,28.790,28.840,104158
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-06,28.580,29.230,28.540,28.880,55663
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-07,28.830,29.200,28.650,28.740,8963
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-08,29.000,29.260,28.670,28.760,47677
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-11,28.930,29.150,27.610,27.670,56746
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-12,27.970,28.850,27.970,28.800,47379
