Symbol,Settings,Date,Open,High,Low,Close,Volume
VUN,Ex:TSE | Src:Google,2021-11-05,82.200,82.470,81.700,81.960,38864
VUN,Ex:TSE | Src:Google,2021-11-08,82.400,82.400,81.990,82.080,42518
VUN,Ex:TSE | Src:Google,2021-11-09,82.160,82.230,81.620,81.830,43459
VUN,Ex:TSE | Src:Google,2021-11-10,81.420,81.740,81.070,81.400,47171
VUN,Ex:TSE | Src:Google,2021-11-11,81.800,82.250,81.800,82.090,22280
VUN,Ex:TSE | Src:Google,2021-11-12,82.360,82.490,82.000,82.440,19162
VUN,Ex:TSE | Src:Google,2021-11-15,82.600,82.600,82.050,82.150,47692
VUN,Ex:TSE | Src:Google,2021-11-16,82.850,83.010,82.360,82.870,33594
VUN,Ex:TSE | Src:Google,2021-11-17,82.850,82.970,82.660,82.860,22392
VUN,Ex:TSE | Src:Google,2021-11-18,83.220,83.220,82.660,82.910,31255
VUN,Ex:TSE | Src:Google,2021-11-19,82.910,83.270,82.910,83.010,42736
VUN,Ex:TSE | Src:Google,2021-11-22,83.420,83.890,82.910,82.910,40243
VUN,Ex:TSE | Src:Google,2021-11-23,83.000,83.150,82.360,82.780,59780
VUN,Ex:TSE | Src:Google,2021-11-24,82.580,82.970,82.320,82.940,32222
VUN,Ex:TSE | Src:Google,2021-11-25,82.850,83.500,82.850,83.500,19574
VUN,Ex:TSE | Src:Google,2021-11-26,82.000,82.550,81.420,81.850,197283
VUN,Ex:TSE | Src:Google,2021-11-29,82.700,83.040,82.190,82.580,63655
VUN,Ex:TSE | Src:Google,2021-11-30,82.470,82.470,80.970,81.100,77696
VUN,Ex:TSE | Src:Google,2021-12-01,81.930,82.380,80.190,80.190,57349
VUN,Ex:TSE | Src:Google,2021-12-02,80.100,81.660,80.100,81.370,50073
VUN,Ex:TSE | Src:Google,2021-12-03,81.510,81.510,79.900,80.610,62072
VUN,Ex:TSE | Src:Google,2021-12-06,80.720,81.560,80.430,81.140,35067
VUN,Ex:TSE | Src:Google,2021-12-07,81.310,82.420,81.310,82.170,40718
VUN,Ex:TSE | Src:Google,2021-12-08,82.180,82.580,81.890,82.570,28211
VUN,Ex:TSE | Src:Google,2021-12-09,82.570,82.680,82.160,82.160,27185
VUN,Ex:TSE | Src:Google,2021-12-10,82.500,82.810,82.140,82.790,37981
VUN,Ex:TSE | Src:Google,2021-12-13,83.030,83.110,82.480,82.640,49843
VUN,Ex:TSE | Src:Google,2021-12-14,82.290,82.460,81.740,82.240,33089
VUN,Ex:TSE | Src:Google,2021-12-15,82.100,83.420,82.100,83.420,43957
VUN,Ex:TSE | Src:Google,2021-12-16,83.500,83.500,81.950,82.160,238480
VUN,Ex:TSE | Src:Google,2021-12-17,81.750,82.750,81.450,82.420,213549
VUN,Ex:TSE | Src:Google,2021-12-20,81.640,81.660,80.960,81.580,329967
VUN,Ex:TSE | Src:Google,2021-12-21,81.810,83.070,81.810,83.060,44379
VUN,Ex:TSE | Src:Google,2021-12-22,82.710,83.360,82.710,83.360,39872
VUN,Ex:TSE | Src:Google,2021-12-23,83.760,83.930,83.500,83.730,49288
VUN,Ex:TSE | Src:Google,2021-12-24,83.550,83.950,83.420,83.880,22804
VUN,Ex:TSE | Src:Google,2021-12-29,84.300,84.790,84.300,84.610,61207
VUN,Ex:TSE | Src:Google,2021-12-30,84.610,84.750,83.860,83.860,28792
VUN,Ex:TSE | Src:Google,2021-12-31,83.640,83.640,82.970,83.030,28054
VUN,Ex:TSE | Src:Google,2022-01-04,84.000,84.240,83.360,83.790,59881
VUN,Ex:TSE | Src:Google,2022-01-05,83.600,83.730,82.300,82.300,88103
VUN,Ex:TSE | Src:Google,2022-01-06,82.480,82.480,81.850,81.940,69229
VUN,Ex:TSE | Src:Google,2022-01-07,81.940,82.070,81.040,81.070,43406
VUN,Ex:TSE | Src:Google,2022-01-10,81.000,81.190,79.620,81.190,94676
VUN,Ex:TSE | Src:Google,2022-01-11,81.240,81.370,80.400,81.360,65722
VUN,Ex:TSE | Src:Google,2022-01-12,81.360,81.530,80.700,80.960,67376
VUN,Ex:TSE | Src:Google,2022-01-13,80.860,81.000,79.760,79.860,68122
VUN,Ex:TSE | Src:Google,2022-01-14,79.300,80.170,79.300,80.170,63814
VUN,Ex:TSE | Src:Google,2022-01-17,80.300,81.210,80.050,80.810,40489
VUN,Ex:TSE | Src:Google,2022-01-18,79.030,79.110,78.250,78.360,109791
VUN,Ex:TSE | Src:Google,2022-01-19,78.500,78.730,77.410,77.410,79086
VUN,Ex:TSE | Src:Google,2022-01-20,77.850,78.500,76.550,76.660,80930
VUN,Ex:TSE | Src:Google,2022-01-21,76.300,76.850,75.480,75.540,131614
VUN,Ex:TSE | Src:Google,2022-01-24,74.970,76.380,73.150,76.350,169026
VUN,Ex:TSE | Src:Google,2022-01-25,75.010,75.970,74.250,75.140,94578
VUN,Ex:TSE | Src:Google,2022-01-26,76.010,76.660,74.480,75.240,110447
VUN,Ex:TSE | Src:Google,2022-01-27,75.950,76.540,74.850,75.100,98475
VUN,Ex:TSE | Src:Google,2022-01-28,75.750,77.090,74.610,77.090,66447
VUN,Ex:TSE | Src:Google,2022-01-31,76.950,78.350,76.680,78.350,69250
VUN,Ex:TSE | Src:Google,2022-02-01,78.500,78.870,77.870,78.840,51915
VUN,Ex:TSE | Src:Google,2022-02-02,79.010,79.220,78.660,79.200,48842
VUN,Ex:TSE | Src:Google,2022-02-03,78.180,78.520,77.320,77.360,51684
VUN,Ex:TSE | Src:Google,2022-02-04,77.760,78.880,77.560,78.380,33208
VUN,Ex:TSE | Src:Google,2022-02-07,78.480,78.480,77.450,77.620,46257
VUN,Ex:TSE | Src:Google,2022-02-08,77.810,78.670,77.670,78.550,29294
VUN,Ex:TSE | Src:Google,2022-02-09,79.010,79.600,79.010,79.560,49373
VUN,Ex:TSE | Src:Google,2022-02-10,78.950,79.580,78.210,78.540,35553
VUN,Ex:TSE | Src:Google,2022-02-11,80.000,80.000,76.900,77.160,46495
VUN,Ex:TSE | Src:Google,2022-02-14,77.090,77.240,76.340,76.770,47761
VUN,Ex:TSE | Src:Google,2022-02-15,77.840,78.180,77.590,78.040,33154
VUN,Ex:TSE | Src:Google,2022-02-16,77.590,78.110,77.210,77.890,33721
VUN,Ex:TSE | Src:Google,2022-02-17,77.580,77.580,76.200,76.320,38815
VUN,Ex:TSE | Src:Google,2022-02-18,76.300,76.510,75.670,76.150,40856
VUN,Ex:TSE | Src:Google,2022-02-22,75.400,76.100,74.770,75.210,73268
VUN,Ex:TSE | Src:Google,2022-02-23,75.440,75.480,73.620,73.670,90771
VUN,Ex:TSE | Src:Google,2022-02-24,71.780,75.370,71.770,75.370,81246
VUN,Ex:TSE | Src:Google,2022-02-25,75.310,76.530,75.140,76.340,52055
VUN,Ex:TSE | Src:Google,2022-02-28,75.850,76.380,75.330,76.150,39142
VUN,Ex:TSE | Src:Google,2022-03-01,76.150,77.760,74.940,75.400,44256
VUN,Ex:TSE | Src:Google,2022-03-02,75.400,76.420,75.260,76.130,45458
VUN,Ex:TSE | Src:Google,2022-03-03,76.770,76.770,75.550,75.810,28435
VUN,Ex:TSE | Src:Google,2022-03-04,75.810,75.880,74.900,75.380,29344
VUN,Ex:TSE | Src:Google,2022-03-07,75.100,75.400,73.530,73.530,54778
VUN,Ex:TSE | Src:Google,2022-03-08,73.670,75.280,73.210,73.630,54265
VUN,Ex:TSE | Src:Google,2022-03-09,74.450,75.430,74.370,75.120,56850
VUN,Ex:TSE | Src:Google,2022-03-10,74.090,74.690,73.750,74.570,30642
VUN,Ex:TSE | Src:Google,2022-03-11,74.860,74.860,73.320,73.320,51397
VUN,Ex:TSE | Src:Google,2022-03-14,73.500,73.990,72.830,73.100,46826
VUN,Ex:TSE | Src:Google,2022-03-15,73.730,74.410,73.390,74.280,31687
VUN,Ex:TSE | Src:Google,2022-03-16,74.920,75.690,74.250,75.690,45780
VUN,Ex:TSE | Src:Google,2022-03-17,75.450,76.260,75.220,76.170,34754
VUN,Ex:TSE | Src:Google,2022-03-18,75.930,77.110,75.930,77.110,45229
VUN,Ex:TSE | Src:Google,2022-03-21,77.250,77.270,76.430,76.910,45964
VUN,Ex:TSE | Src:Google,2022-03-22,76.900,78.000,76.900,77.700,21953
VUN,Ex:TSE | Src:Google,2022-03-23,77.400,77.400,76.520,76.520,64417
VUN,Ex:TSE | Src:Google,2022-03-24,76.990,77.360,76.520,77.360,21172
VUN,Ex:TSE | Src:Google,2022-03-25,77.540,77.580,76.890,77.150,28690
VUN,Ex:TSE | Src:Google,2022-03-28,77.550,78.130,77.290,78.130,35617
VUN,Ex:TSE | Src:Google,2022-03-29,78.800,79.150,78.490,79.110,64961
VUN,Ex:TSE | Src:Google,2022-03-30,78.650,78.730,78.140,78.290,27897
VUN,Ex:TSE | Src:Google,2022-03-31,78.210,78.560,77.330,77.350,37327
VUN,Ex:TSE | Src:Google,2022-04-01,77.350,77.770,77.130,77.730,25230
VUN,Ex:TSE | Src:Google,2022-04-04,77.770,78.180,77.500,78.140,20501
VUN,Ex:TSE | Src:Google,2022-04-05,77.650,77.770,76.990,77.120,29785
VUN,Ex:TSE | Src:Google,2022-04-06,76.790,76.790,76.010,76.490,40068
VUN,Ex:TSE | Src:Google,2022-04-07,76.670,77.350,76.360,77.050,25829
VUN,Ex:TSE | Src:Google,2022-04-08,77.050,77.330,76.650,76.650,20508
VUN,Ex:TSE | Src:Google,2022-04-11,76.400,76.620,75.890,76.080,37111
VUN,Ex:TSE | Src:Google,2022-04-12,76.550,76.900,75.530,75.750,48773
VUN,Ex:TSE | Src:Google,2022-04-13,75.950,76.440,75.910,76.250,47069
VUN,Ex:TSE | Src:Google,2022-04-14,76.290,76.490,75.650,75.650,27251
VUN,Ex:TSE | Src:Google,2022-04-18,75.510,75.850,75.190,75.520,22597
VUN,Ex:TSE | Src:Google,2022-04-19,75.610,76.970,75.610,76.900,26126
VUN,Ex:TSE | Src:Google,2022-04-20,76.550,76.650,76.000,76.030,35340
VUN,Ex:TSE | Src:Google,2022-04-21,76.580,76.830,75.200,75.300,38788
VUN,Ex:TSE | Src:Google,2022-04-22,75.320,75.760,74.000,74.050,46077
VUN,Ex:TSE | Src:Google,2022-04-25,73.670,74.580,73.210,74.580,49107
VUN,Ex:TSE | Src:Google,2022-04-26,74.590,74.590,72.890,72.890,97190
VUN,Ex:TSE | Src:Google,2022-04-27,73.260,73.970,72.880,73.090,31139
VUN,Ex:TSE | Src:Google,2022-04-28,74.050,75.040,73.220,74.690,37130
VUN,Ex:TSE | Src:Google,2022-04-29,73.550,74.200,72.200,72.300,59953
VUN,Ex:TSE | Src:Google,2022-05-02,72.320,73.090,71.510,72.960,47314
VUN,Ex:TSE | Src:Google,2022-05-03,72.760,73.450,72.680,72.990,46395
VUN,Ex:TSE | Src:Google,2022-05-04,73.310,74.710,72.500,74.600,51916
VUN,Ex:TSE | Src:Google,2022-05-05,74.100,74.100,71.800,72.390,39299
VUN,Ex:TSE | Src:Google,2022-05-06,72.000,72.620,71.270,72.080,40167
VUN,Ex:TSE | Src:Google,2022-05-09,72.000,72.060,69.960,70.240,82926
VUN,Ex:TSE | Src:Google,2022-05-10,70.290,71.380,69.700,70.460,58986
VUN,Ex:TSE | Src:Google,2022-05-11,70.120,70.810,68.950,69.040,38599
VUN,Ex:TSE | Src:Google,2022-05-12,68.680,69.790,68.290,69.350,65519
VUN,Ex:TSE | Src:Google,2022-05-13,69.700,70.780,69.700,70.560,46424
VUN,Ex:TSE | Src:Google,2022-05-16,70.400,70.450,69.750,69.810,30205
