Symbol,Settings,Date,Open,High,Low,Close,Volume
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-21,7.290,7.460,7.230,7.280,196202
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-22,7.120,7.180,6.730,6.740,297558
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-23,6.660,6.860,6.560,6.580,218188
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-24,6.500,6.590,6.480,6.510,67411
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-25,6.560,6.690,6.560,6.675,159515
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-28,6.810,7.070,6.620,7.050,233576
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-29,6.940,6.940,6.530,6.590,316849
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-11-30,6.440,6.590,6.250,6.360,413633
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-01,6.120,6.120,5.840,5.910,646421
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-02,6.030,6.200,5.900,5.950,432665
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-05,6.000,6.220,6.000,6.180,584445
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-06,6.100,6.200,5.930,6.200,278765
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-07,6.090,6.090,5.850,5.940,242680
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-08,5.900,6.010,5.830,5.990,230400
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-09,5.840,6.120,5.770,6.110,322191
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-12,6.170,6.290,6.080,6.090,227848
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-13,5.740,5.970,5.620,5.790,362821
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-14,5.790,6.010,5.740,5.850,370848
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-15,6.050,6.280,6.050,6.270,332610
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-16,6.280,6.480,6.150,6.250,225167
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-19,6.230,6.530,6.230,6.500,260803
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-20,6.260,6.290,5.950,6.020,293281
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-21,6.060,6.060,5.830,5.930,215964
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-22,6.070,6.160,5.950,5.980,332360
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-23,5.920,6.130,5.820,5.925,306592
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-28,5.940,6.020,5.820,5.980,264931
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-29,5.870,6.030,5.850,6.020,197625
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-12-30,6.000,6.160,5.990,6.090,175673
HGD,Ex:TSE | Src:Yahoo JSON (forced),2023-01-03,5.830,5.830,5.490,5.620,375185
HGD,Ex:TSE | Src:Yahoo JSON (forced),2023-01-04,5.450,5.530,5.210,5.270,583990
HGD,Ex:TSE | Src:Yahoo JSON (forced),2023-01-05,5.430,5.500,5.305,5.305,327683
HGD,Ex:TSE | Src:Yahoo JSON (forced),2023-01-06,5.250,5.360,5.120,5.270,387019
