Symbol,Settings,Date,Open,High,Low,Close,Volume
QQC-F,Ex:TSE | Src:Google,2023-03-07,99.560,99.560,98.300,98.300,4995
QQC-F,Ex:TSE | Src:Google,2023-03-08,98.380,99.000,98.380,99.000,1154
QQC-F,Ex:TSE | Src:Google,2023-03-09,98.920,99.800,97.060,97.090,3190
QQC-F,Ex:TSE | Src:Google,2023-03-10,97.120,97.120,95.450,95.690,13827
QQC-F,Ex:TSE | Src:Google,2023-03-13,95.240,97.570,95.000,96.530,7776
QQC-F,Ex:TSE | Src:Google,2023-03-14,98.250,98.810,97.490,98.770,4528
QQC-F,Ex:TSE | Src:Google,2023-03-15,98.020,99.100,97.550,98.650,7234
QQC-F,Ex:TSE | Src:Google,2023-03-16,99.120,101.960,99.090,101.830,7730
QQC-F,Ex:TSE | Src:Google,2023-03-17,102.040,102.460,100.880,101.350,15180
QQC-F,Ex:TSE | Src:Google,2023-03-20,101.290,101.550,100.790,101.550,4414
QQC-F,Ex:TSE | Src:Google,2023-03-21,102.480,103.240,102.000,103.240,2293
QQC-F,Ex:TSE | Src:Google,2023-03-22,103.010,104.500,101.970,101.970,17973
QQC-F,Ex:TSE | Src:Google,2023-03-23,102.930,104.270,102.140,103.080,4482
QQC-F,Ex:TSE | Src:Google,2023-03-24,102.710,103.330,102.330,103.330,3292
QQC-F,Ex:TSE | Src:Google,2023-03-27,103.780,103.780,102.400,102.440,4142
QQC-F,Ex:TSE | Src:Google,2023-03-28,102.000,102.100,101.400,102.100,6842
QQC-F,Ex:TSE | Src:Google,2023-03-29,103.250,103.800,103.100,103.800,1676
QQC-F,Ex:TSE | Src:Google,2023-03-30,104.500,104.700,104.500,104.670,2844
QQC-F,Ex:TSE | Src:Google,2023-03-31,104.950,106.370,104.950,106.300,5594
QQC-F,Ex:TSE | Src:Google,2023-04-03,106.420,106.420,105.340,105.950,3265
QQC-F,Ex:TSE | Src:Google,2023-04-04,105.880,105.880,105.750,105.750,806
QQC-F,Ex:TSE | Src:Google,2023-04-05,105.340,105.340,104.400,104.760,2164
QQC-F,Ex:TSE | Src:Google,2023-04-06,103.900,105.550,103.880,105.530,4559
QQC-F,Ex:TSE | Src:Google,2023-04-10,104.270,105.300,103.980,105.290,1185
QQC-F,Ex:TSE | Src:Google,2023-04-11,104.770,104.900,104.730,104.810,1202
QQC-F,Ex:TSE | Src:Google,2023-04-12,105.230,105.350,103.760,103.800,6576
QQC-F,Ex:TSE | Src:Google,2023-04-13,104.280,105.770,104.280,105.770,1502
QQC-F,Ex:TSE | Src:Google,2023-04-14,105.340,106.000,105.000,105.570,1937
QQC-F,Ex:TSE | Src:Google,2023-04-17,105.580,105.610,105.000,105.600,1616
QQC-F,Ex:TSE | Src:Google,2023-04-18,106.250,106.500,105.600,105.600,4775
QQC-F,Ex:TSE | Src:Google,2023-04-19,105.030,105.790,105.030,105.670,945
QQC-F,Ex:TSE | Src:Google,2023-04-20,104.530,105.590,104.500,104.500,2134
QQC-F,Ex:TSE | Src:Google,2023-04-21,104.850,105.070,104.810,104.840,3074
QQC-F,Ex:TSE | Src:Google,2023-04-24,104.850,104.850,104.200,104.650,1924
QQC-F,Ex:TSE | Src:Google,2023-04-25,104.330,104.330,102.740,102.740,2205
QQC-F,Ex:TSE | Src:Google,2023-04-26,103.730,104.280,103.310,103.390,5203
QQC-F,Ex:TSE | Src:Google,2023-04-27,104.580,106.300,104.580,106.110,3258
QQC-F,Ex:TSE | Src:Google,2023-04-28,106.000,106.810,106.000,106.810,13770
QQC-F,Ex:TSE | Src:Google,2023-05-01,106.620,107.000,106.590,106.730,1917
QQC-F,Ex:TSE | Src:Google,2023-05-02,106.700,106.700,105.850,105.890,1828
QQC-F,Ex:TSE | Src:Google,2023-05-03,105.840,106.100,105.290,105.330,3709
QQC-F,Ex:TSE | Src:Google,2023-05-04,104.580,105.250,104.580,104.780,1072
QQC-F,Ex:TSE | Src:Google,2023-05-05,105.700,107.100,105.700,106.900,4135
QQC-F,Ex:TSE | Src:Google,2023-05-08,106.690,107.270,106.690,107.270,5902
QQC-F,Ex:TSE | Src:Google,2023-05-09,106.780,106.800,106.650,106.650,2320
QQC-F,Ex:TSE | Src:Google,2023-05-10,107.100,108.000,107.000,108.000,1905
