Symbol,Settings,Date,Open,High,Low,Close,Volume
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-21,3.760,3.770,3.670,3.690,21147
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-22,3.740,3.820,3.730,3.780,134367
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-23,3.750,3.840,3.740,3.810,50500
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-24,3.770,3.770,3.740,3.740,12900
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-27,3.740,3.740,3.740,3.740,
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-28,3.730,3.730,3.640,3.640,133991
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-29,3.620,3.800,3.620,3.780,25916
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-30,3.760,3.760,3.680,3.750,105000
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-05-31,3.680,3.740,3.650,3.650,34404
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-03,3.670,3.980,3.670,3.970,40640
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-04,4.060,4.210,4.060,4.120,123810
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-05,4.090,4.100,4.000,4.085,40937
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-06,4.060,4.060,4.010,4.020,29800
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-07,4.030,4.080,4.010,4.080,36830
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-10,4.020,4.020,3.940,3.980,70560
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-11,4.020,4.090,4.000,4.005,23200
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-12,3.930,4.070,3.900,4.065,40625
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-13,4.100,4.320,4.100,4.320,41967
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-14,4.360,4.420,4.360,4.360,9650
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-17,4.360,4.430,4.340,4.350,28551
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-18,4.330,4.330,4.150,4.230,10451
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-19,4.170,4.250,4.170,4.250,23200
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-20,4.200,4.210,4.100,4.190,31345
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-21,4.230,4.320,4.190,4.300,20350
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-24,4.280,4.280,4.000,4.010,26650
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-25,4.070,4.070,4.020,4.060,22610
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-26,4.070,4.120,4.070,4.090,9102
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-27,4.010,4.030,4.000,4.000,8862
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-06-28,3.950,4.020,3.930,3.990,10204
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-02,3.910,3.920,3.870,3.870,30575
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-03,3.880,3.880,3.790,3.850,3705
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-04,3.840,3.840,3.790,3.790,3400
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-05,3.880,4.020,3.880,4.000,28958
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-08,4.020,4.040,3.990,3.990,7020
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-09,4.070,4.120,4.040,4.120,10957
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-10,4.090,4.100,4.015,4.015,31908
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-11,3.950,3.980,3.900,3.910,9413
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-12,3.870,3.920,3.870,3.920,12903
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-15,3.770,3.950,3.770,3.800,50445
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-16,3.880,3.900,3.870,3.900,18700
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-17,3.870,3.950,3.870,3.920,27526
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-18,3.890,3.930,3.870,3.900,25300
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-19,3.990,4.010,3.930,3.980,10002
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-22,4.040,4.050,3.920,3.930,11455
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-23,4.000,4.050,4.000,4.040,21873
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-24,3.990,4.080,3.980,4.080,46600
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-25,4.110,4.200,4.020,4.020,20127
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-26,4.100,4.100,3.980,4.010,12001
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-29,4.080,4.120,4.010,4.080,16250
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-30,4.050,4.080,4.020,4.050,94201
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-07-31,3.920,3.920,3.810,3.820,68752
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-01,3.830,4.100,3.780,4.030,37290
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-02,4.100,4.460,4.100,4.390,65738
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-06,4.470,4.560,4.360,4.420,23990
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-07,4.240,4.310,4.170,4.310,23602
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-08,4.200,4.200,4.110,4.150,21100
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-09,4.150,4.150,4.110,4.110,17752
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-12,4.050,4.050,3.830,3.870,20080
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-13,3.920,3.920,3.825,3.830,8707
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-14,3.780,3.810,3.760,3.760,18466
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-15,3.660,3.690,3.610,3.640,13355
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-16,3.720,3.730,3.670,3.720,100128
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-19,3.720,3.755,3.650,3.755,42026
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-20,3.810,3.940,3.810,3.930,47948
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-21,3.900,3.940,3.880,3.930,8300
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-22,3.940,3.940,3.890,3.920,8865
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-23,3.840,3.900,3.830,3.850,21600
