Symbol,Settings,Date,Open,High,Low,Close,Volume
HXF,Ex:TSE | Src:Google,2023-03-23,57.080,57.080,56.470,56.470,510
HXF,Ex:TSE | Src:Google,2023-03-24,56.000,56.450,56.000,56.450,388
HXF,Ex:TSE | Src:Google,2023-03-28,57.020,57.020,56.650,56.800,575
HXF,Ex:TSE | Src:Google,2023-04-03,58.620,58.620,58.620,58.620,106
HXF,Ex:TSE | Src:Google,2023-04-04,58.280,58.280,58.070,58.070,608
HXF,Ex:TSE | Src:Google,2023-04-05,57.950,57.950,57.950,57.950,100
HXF,Ex:TSE | Src:Google,2023-04-06,58.020,58.020,58.020,58.020,100
HXF,Ex:TSE | Src:Google,2023-04-11,58.700,58.760,58.700,58.760,300
HXF,Ex:TSE | Src:Google,2023-04-17,59.060,59.320,59.060,59.320,617
HXF,Ex:TSE | Src:Google,2023-04-19,59.750,59.920,59.750,59.920,669
HXF,Ex:TSE | Src:Google,2023-04-25,59.070,59.120,59.070,59.120,204
HXF,Ex:TSE | Src:Google,2023-04-26,58.870,58.880,58.870,58.870,300
HXF,Ex:TSE | Src:Google,2023-04-28,59.920,59.920,59.920,59.920,223
HXF,Ex:TSE | Src:Google,2023-05-01,59.920,60.460,59.750,59.920,5
HXF,Ex:TSE | Src:Google,2023-05-02,58.770,58.770,58.770,58.770,810
HXF,Ex:TSE | Src:Google,2023-05-03,58.770,59.750,58.770,58.770,0
HXF,Ex:TSE | Src:Google,2023-05-04,58.820,58.820,58.030,58.070,6050
HXF,Ex:TSE | Src:Google,2023-05-05,58.910,58.910,58.910,58.910,177
HXF,Ex:TSE | Src:Google,2023-05-08,59.090,59.090,59.090,59.090,100
HXF,Ex:TSE | Src:Google,2023-05-09,59.090,59.750,58.530,59.090,46
HXF,Ex:TSE | Src:Google,2023-05-10,58.650,58.650,58.650,58.650,100
HXF,Ex:TSE | Src:Google,2023-05-11,58.850,58.850,58.850,58.850,257
HXF,Ex:TSE | Src:Google,2023-05-12,58.850,59.750,58.520,58.850,0
HXF,Ex:TSE | Src:Google,2023-05-15,58.850,59.750,58.650,58.850,11
HXF,Ex:TSE | Src:Google,2023-05-16,58.940,58.940,58.940,58.940,100
HXF,Ex:TSE | Src:Google,2023-05-17,58.910,58.910,58.910,58.910,100
HXF,Ex:TSE | Src:Google,2023-05-18,58.910,59.250,58.610,58.910,0
HXF,Ex:TSE | Src:Google,2023-05-19,58.890,58.890,58.890,58.890,100
HXF,Ex:TSE | Src:Google,2023-05-23,58.830,58.830,58.830,58.830,103
HXF,Ex:TSE | Src:Google,2023-05-24,57.750,57.870,57.750,57.870,504
HXF,Ex:TSE | Src:Google,2023-05-25,57.500,57.500,57.100,57.360,355
HXF,Ex:TSE | Src:Google,2023-05-26,57.760,57.890,57.760,57.890,292
HXF,Ex:TSE | Src:Google,2023-05-29,57.890,59.940,57.890,57.890,0
HXF,Ex:TSE | Src:Google,2023-05-30,57.890,59.950,57.520,57.890,5
HXF,Ex:TSE | Src:Google,2023-05-31,57.000,57.000,57.000,57.000,200
HXF,Ex:TSE | Src:Google,2023-06-01,57.000,57.240,56.660,57.000,25
HXF,Ex:TSE | Src:Google,2023-06-02,57.500,58.010,57.500,58.010,1801
HXF,Ex:TSE | Src:Google,2023-06-05,58.180,58.180,58.180,58.180,108
HXF,Ex:TSE | Src:Google,2023-06-06,57.010,57.560,57.010,57.560,600
HXF,Ex:TSE | Src:Google,2023-06-07,57.850,57.850,57.850,57.850,500
HXF,Ex:TSE | Src:Google,2023-06-08,57.810,58.030,57.810,58.030,663
HXF,Ex:TSE | Src:Google,2023-06-14,58.740,58.740,58.740,58.740,100
HXF,Ex:TSE | Src:Google,2023-06-15,58.770,58.970,58.770,58.970,501
HXF,Ex:TSE | Src:Google,2023-06-16,58.940,58.940,58.940,58.940,232
HXF,Ex:TSE | Src:Google,2023-06-20,58.360,58.380,58.360,58.380,680
HXF,Ex:TSE | Src:Google,2023-06-21,58.000,58.030,58.000,58.030,1085
HXF,Ex:TSE | Src:Google,2023-06-23,57.000,57.000,56.880,56.880,523
HXF,Ex:TSE | Src:Google,2023-06-27,58.220,58.220,58.220,58.220,285
HXF,Ex:TSE | Src:Google,2023-06-28,58.190,58.250,58.190,58.250,338
HXF,Ex:TSE | Src:Google,2023-06-29,58.610,58.640,58.610,58.640,300
HXF,Ex:TSE | Src:Google,2023-06-30,59.200,59.200,59.200,59.200,843
HXF,Ex:TSE | Src:Google,2023-07-05,59.480,59.480,59.480,59.480,115
HXF,Ex:TSE | Src:Google,2023-07-06,59.000,59.000,59.000,59.000,200
HXF,Ex:TSE | Src:Google,2023-07-10,58.510,58.510,58.510,58.510,21857
HXF,Ex:TSE | Src:Google,2023-07-11,58.570,58.570,58.570,58.570,110
HXF,Ex:TSE | Src:Google,2023-07-13,59.800,59.800,59.770,59.770,700
HXF,Ex:TSE | Src:Google,2023-07-14,60.000,60.000,60.000,60.000,100
HXF,Ex:TSE | Src:Google,2023-07-17,60.120,60.120,60.120,60.120,2000
HXF,Ex:TSE | Src:Google,2023-07-18,60.750,60.750,60.750,60.750,300
HXF,Ex:TSE | Src:Google,2023-07-19,60.950,60.950,60.950,60.950,355
HXF,Ex:TSE | Src:Google,2023-07-20,61.180,61.180,61.180,61.180,305
HXF,Ex:TSE | Src:Google,2023-07-25,61.190,61.190,61.190,61.190,296
HXF,Ex:TSE | Src:Google,2023-07-26,61.550,61.550,61.450,61.450,425
HXF,Ex:TSE | Src:Google,2023-07-31,61.550,61.550,61.550,61.550,150
HXF,Ex:TSE | Src:Google,2023-08-01,61.140,61.150,61.140,61.150,337
HXF,Ex:TSE | Src:Google,2023-08-03,60.160,60.160,60.160,60.160,200
HXF,Ex:TSE | Src:Google,2023-08-04,60.940,60.940,60.940,60.940,1099
HXF,Ex:TSE | Src:Google,2023-08-09,60.350,60.350,60.350,60.350,100
HXF,Ex:TSE | Src:Google,2023-08-10,60.810,60.810,60.770,60.800,2659
HXF,Ex:TSE | Src:Google,2023-08-14,60.650,60.650,60.650,60.650,140
HXF,Ex:TSE | Src:Google,2023-08-15,59.560,59.560,59.560,59.560,256
HXF,Ex:TSE | Src:Google,2023-08-16,59.000,59.000,59.000,59.000,400
HXF,Ex:TSE | Src:Google,2023-08-17,59.290,59.290,59.020,59.020,1410
HXF,Ex:TSE | Src:Google,2023-08-21,58.470,58.470,58.470,58.470,100
HXF,Ex:TSE | Src:Google,2023-08-22,57.800,57.800,57.800,57.800,126
HXF,Ex:TSE | Src:Google,2023-08-25,58.060,58.070,58.060,58.070,200
HXF,Ex:TSE | Src:Google,2023-08-28,57.850,58.560,57.850,58.560,1677
HXF,Ex:TSE | Src:Google,2023-08-31,58.870,58.870,58.870,58.870,186
HXF,Ex:TSE | Src:Google,2023-09-01,59.690,59.710,59.690,59.710,500
HXF,Ex:TSE | Src:Google,2023-09-06,59.080,59.080,59.080,59.080,200
HXF,Ex:TSE | Src:Google,2023-09-08,58.500,58.620,58.500,58.520,8400
HXF,Ex:TSE | Src:Google,2023-09-11,59.100,59.100,59.090,59.090,1375
HXF,Ex:TSE | Src:Google,2023-09-13,59.290,59.490,59.290,59.490,73800
HXF,Ex:TSE | Src:Google,2023-09-14,60.290,60.290,60.290,60.290,465
HXF,Ex:TSE | Src:Google,2023-09-15,60.550,60.550,60.550,60.550,103
HXF,Ex:TSE | Src:Google,2023-09-18,60.410,60.410,60.410,60.410,175
HXF,Ex:TSE | Src:Google,2023-09-19,59.890,59.890,59.890,59.890,200
HXF,Ex:TSE | Src:Google,2023-09-21,59.410,59.410,59.410,59.410,155
HXF,Ex:TSE | Src:Google,2023-09-22,58.880,58.960,58.710,58.720,1700
HXF,Ex:TSE | Src:Google,2023-09-25,58.690,58.690,58.670,58.670,4403
HXF,Ex:TSE | Src:Google,2023-09-26,58.040,58.040,58.040,58.040,225
HXF,Ex:TSE | Src:Google,2023-09-29,58.350,58.350,58.350,58.350,100
HXF,Ex:TSE | Src:Google,2023-10-02,57.420,57.640,57.420,57.640,424
HXF,Ex:TSE | Src:Google,2023-10-03,55.820,55.820,55.820,55.820,202
HXF,Ex:TSE | Src:Google,2023-10-04,55.500,56.090,55.500,55.940,1019
HXF,Ex:TSE | Src:Google,2023-10-06,56.860,56.860,56.860,56.860,758
HXF,Ex:TSE | Src:Google,2023-10-10,57.230,57.230,57.230,57.230,108
HXF,Ex:TSE | Src:Google,2023-10-11,57.770,57.960,57.600,57.960,801
HXF,Ex:TSE | Src:Google,2023-10-16,57.180,57.180,57.180,57.180,101
HXF,Ex:TSE | Src:Google,2023-10-18,56.920,57.000,56.680,56.680,513
HXF,Ex:TSE | Src:Google,2023-10-19,56.480,56.480,56.480,56.480,105
