Symbol,Settings,Date,Open,High,Low,Close,Volume
HNU,Ex:TSE | Src:Google,2022-12-07,8.900,9.650,8.300,9.600,5351703
HNU,Ex:TSE | Src:Google,2022-12-08,9.720,10.620,9.600,10.030,4705412
HNU,Ex:TSE | Src:Google,2022-12-09,11.000,11.310,10.300,11.170,3997682
HNU,Ex:TSE | Src:Google,2022-12-12,12.880,13.050,11.810,11.880,3346630
HNU,Ex:TSE | Src:Google,2022-12-13,13.100,13.790,12.810,13.450,3288573
HNU,Ex:TSE | Src:Google,2022-12-14,12.070,12.230,11.030,11.100,5312212
HNU,Ex:TSE | Src:Google,2022-12-15,11.810,12.810,11.150,12.340,5250834
HNU,Ex:TSE | Src:Google,2022-12-16,11.120,11.880,10.880,11.490,4943699
HNU,Ex:TSE | Src:Google,2022-12-19,9.890,10.090,9.110,9.210,5532187
HNU,Ex:TSE | Src:Google,2022-12-20,8.030,8.100,7.590,7.790,5498850
HNU,Ex:TSE | Src:Google,2022-12-21,8.300,8.350,7.640,8.010,4557782
HNU,Ex:TSE | Src:Google,2022-12-22,7.690,8.080,6.850,7.020,5255234
HNU,Ex:TSE | Src:Google,2022-12-23,6.680,7.450,6.590,7.090,4369238
HNU,Ex:TSE | Src:Google,2022-12-28,6.090,6.380,5.570,6.330,6101795
HNU,Ex:TSE | Src:Google,2022-12-29,5.800,5.960,5.500,5.900,5854079
HNU,Ex:TSE | Src:Google,2022-12-30,5.530,5.810,5.390,5.530,5448361
HNU,Ex:TSE | Src:Google,2023-01-03,4.590,4.720,4.180,4.460,10130096
HNU,Ex:TSE | Src:Google,2023-01-04,4.610,4.900,4.440,4.770,7374877
HNU,Ex:TSE | Src:Google,2023-01-05,4.030,4.100,3.610,3.830,12191620
HNU,Ex:TSE | Src:Google,2023-01-06,3.800,3.990,3.670,3.770,9398321
HNU,Ex:TSE | Src:Google,2023-01-09,4.020,4.540,3.990,4.120,11864227
HNU,Ex:TSE | Src:Google,2023-01-10,3.680,3.750,3.430,3.480,12410596
HNU,Ex:TSE | Src:Google,2023-01-11,3.550,3.740,3.170,3.690,14080892
HNU,Ex:TSE | Src:Google,2023-01-12,4.010,4.040,3.600,3.670,9731992
HNU,Ex:TSE | Src:Google,2023-01-13,3.410,3.520,3.240,3.340,10188305
HNU,Ex:TSE | Src:Google,2023-01-16,3.540,3.600,3.480,3.530,5413037
HNU,Ex:TSE | Src:Google,2023-01-17,3.610,3.630,3.380,3.530,9386144
HNU,Ex:TSE | Src:Google,2023-01-18,3.180,3.280,3.070,3.100,12807398
HNU,Ex:TSE | Src:Google,2023-01-19,3.150,3.240,3.030,3.040,10971667
HNU,Ex:TSE | Src:Google,2023-01-20,3.140,3.260,2.870,2.900,11803069
HNU,Ex:TSE | Src:Google,2023-01-23,3.060,3.350,2.870,3.340,14819289
HNU,Ex:TSE | Src:Google,2023-01-24,3.220,3.240,2.940,3.010,9850052
HNU,Ex:TSE | Src:Google,2023-01-25,2.840,2.890,2.630,2.640,11827794
HNU,Ex:TSE | Src:Google,2023-01-26,2.370,2.610,2.280,2.530,15359700
HNU,Ex:TSE | Src:Google,2023-01-27,2.550,2.680,2.450,2.630,11538679
HNU,Ex:TSE | Src:Google,2023-01-30,2.380,2.450,2.250,2.250,10654766
HNU,Ex:TSE | Src:Google,2023-01-31,2.220,2.400,2.190,2.360,11690882
HNU,Ex:TSE | Src:Google,2023-02-01,2.170,2.190,1.910,1.950,16732762
HNU,Ex:TSE | Src:Google,2023-02-02,2.000,2.100,1.860,1.880,13111004
HNU,Ex:TSE | Src:Google,2023-02-03,1.860,1.870,1.720,1.800,15830566
HNU,Ex:TSE | Src:Google,2023-02-06,1.840,1.950,1.760,1.940,10001785
HNU,Ex:TSE | Src:Google,2023-02-07,1.950,2.130,1.940,2.100,11676362
HNU,Ex:TSE | Src:Google,2023-02-08,2.020,2.040,1.750,1.820,12251100
HNU,Ex:TSE | Src:Google,2023-02-09,1.820,1.950,1.770,1.840,11756193
HNU,Ex:TSE | Src:Google,2023-02-10,1.860,2.070,1.840,2.060,9599767
HNU,Ex:TSE | Src:Google,2023-02-13,1.890,1.980,1.790,1.860,14270617
HNU,Ex:TSE | Src:Google,2023-02-14,1.950,2.110,1.940,2.080,9988213
HNU,Ex:TSE | Src:Google,2023-02-15,1.980,2.040,1.870,1.880,11456809
HNU,Ex:TSE | Src:Google,2023-02-16,1.930,1.950,1.760,1.810,10832047
HNU,Ex:TSE | Src:Google,2023-02-17,1.680,1.680,1.530,1.600,16203027
HNU,Ex:TSE | Src:Google,2023-02-21,21.730,22.000,20.130,20.480,1033342
HNU,Ex:TSE | Src:Google,2023-02-22,21.950,24.900,21.700,22.640,998618
HNU,Ex:TSE | Src:Google,2023-02-23,24.590,26.420,23.140,25.580,925200
HNU,Ex:TSE | Src:Google,2023-02-24,27.090,28.350,25.900,28.240,1090557
HNU,Ex:TSE | Src:Google,2023-02-27,30.920,31.800,29.120,31.400,1224164
HNU,Ex:TSE | Src:Google,2023-02-28,30.780,32.600,27.910,32.470,1375386
HNU,Ex:TSE | Src:Google,2023-03-01,30.810,34.140,30.550,33.700,1311228
HNU,Ex:TSE | Src:Google,2023-03-02,34.190,34.250,31.100,32.770,1186154
HNU,Ex:TSE | Src:Google,2023-03-03,33.890,38.520,33.300,37.800,1423091
HNU,Ex:TSE | Src:Google,2023-03-06,28.860,29.090,26.070,28.030,2069171
HNU,Ex:TSE | Src:Google,2023-03-07,28.400,29.600,27.470,28.930,1379719
HNU,Ex:TSE | Src:Google,2023-03-08,28.440,28.460,26.090,27.500,1713483
HNU,Ex:TSE | Src:Google,2023-03-09,27.640,28.100,24.620,25.180,1738102
HNU,Ex:TSE | Src:Google,2023-03-10,25.180,25.760,23.550,23.650,1105380
HNU,Ex:TSE | Src:Google,2023-03-13,24.860,27.200,24.680,26.910,1168076
HNU,Ex:TSE | Src:Google,2023-03-14,26.670,26.930,25.300,26.330,1355439
HNU,Ex:TSE | Src:Google,2023-03-15,23.930,24.430,22.380,23.500,1614096
HNU,Ex:TSE | Src:Google,2023-03-16,23.680,25.080,23.390,24.820,1008420
HNU,Ex:TSE | Src:Google,2023-03-17,22.700,22.950,21.180,21.610,1954860
HNU,Ex:TSE | Src:Google,2023-03-20,21.010,21.120,19.230,19.710,1680487
HNU,Ex:TSE | Src:Google,2023-03-21,18.290,22.050,18.220,21.250,2183077
HNU,Ex:TSE | Src:Google,2023-03-22,20.630,21.150,18.470,19.160,1839958
HNU,Ex:TSE | Src:Google,2023-03-23,18.990,19.980,18.080,18.110,2176006
HNU,Ex:TSE | Src:Google,2023-03-24,19.070,19.940,18.720,18.920,2123702
HNU,Ex:TSE | Src:Google,2023-03-27,17.970,18.130,16.720,17.480,2193999
HNU,Ex:TSE | Src:Google,2023-03-28,16.890,17.710,16.120,16.320,2220586
HNU,Ex:TSE | Src:Google,2023-03-29,15.990,17.330,15.590,16.680,2684813
HNU,Ex:TSE | Src:Google,2023-03-30,15.920,16.400,15.160,15.570,2796696
HNU,Ex:TSE | Src:Google,2023-03-31,16.530,17.470,16.400,16.800,2973073
HNU,Ex:TSE | Src:Google,2023-04-03,15.710,16.060,15.030,15.600,3883391
HNU,Ex:TSE | Src:Google,2023-04-04,15.430,15.710,15.040,15.240,3226674
HNU,Ex:TSE | Src:Google,2023-04-05,16.560,16.630,15.520,16.010,2771821
HNU,Ex:TSE | Src:Google,2023-04-06,15.720,15.900,13.750,14.110,5541142
HNU,Ex:TSE | Src:Google,2023-04-10,15.670,16.770,15.600,15.930,3371937
HNU,Ex:TSE | Src:Google,2023-04-11,16.140,16.650,15.380,16.580,2521118
HNU,Ex:TSE | Src:Google,2023-04-12,15.800,16.130,14.710,15.020,3475955
HNU,Ex:TSE | Src:Google,2023-04-13,14.610,14.610,13.840,14.150,3776043
HNU,Ex:TSE | Src:Google,2023-04-14,13.810,15.490,13.620,15.320,3591621
HNU,Ex:TSE | Src:Google,2023-04-17,17.170,17.360,16.770,17.200,2182663
HNU,Ex:TSE | Src:Google,2023-04-18,17.540,18.390,16.960,18.280,2309646
HNU,Ex:TSE | Src:Google,2023-04-19,16.610,16.980,16.080,16.460,3206829
HNU,Ex:TSE | Src:Google,2023-04-20,16.360,17.020,15.400,16.560,2867786
HNU,Ex:TSE | Src:Google,2023-04-21,16.650,16.990,16.270,16.510,2005163
HNU,Ex:TSE | Src:Google,2023-04-24,16.410,17.700,16.370,17.370,3548864
HNU,Ex:TSE | Src:Google,2023-04-25,16.870,17.200,16.360,16.440,2424704
HNU,Ex:TSE | Src:Google,2023-04-26,15.310,15.410,14.770,15.300,3294753
HNU,Ex:TSE | Src:Google,2023-04-27,15.660,16.110,14.960,15.880,3155636
HNU,Ex:TSE | Src:Google,2023-04-28,16.140,16.810,15.790,16.410,3451638
HNU,Ex:TSE | Src:Google,2023-05-01,16.060,16.070,14.950,15.260,3062590
